kode_kecamatan,kecamatan,adm4
district_code,district_name,11.01.01.1001
352119,Kasreman,11.01.01.4518
352201,Ngraho,11.01.01.4519
352202,Tambakrejo,11.01.01.4520
352203,Ngambon,11.01.01.4521
352204,Ngasem,11.01.01.4235
352205,Bubulan,11.01.01.4522
352206,Dander,11.01.01.4523
352207,Sugihwaras,11.01.01.4524
352208,Kedungadem,11.01.01.4525
352209,Kepohbaru,11.01.01.4526
352210,Baureno,11.01.01.4527
352211,Kanor,11.01.01.4528
352212,Sumberejo,11.01.01.4529
352213,Balen,11.01.01.4530
352214,Kapas,11.01.01.4531
352215,Bojonegoro,11.01.01.4532
352216,Kalitidu,11.01.01.4533
352217,Malo,11.01.01.4534
352218,Purwosari,11.01.01.4112
352219,Padangan,11.01.01.4535
352220,Kasiman,11.01.01.4536
352221,Temayang,11.01.01.4537
352222,Margomulyo,11.01.01.4538
352223,Trucuk,11.01.01.3720
352224,Sukosewu,11.01.01.4539
352225,Kedewan,11.01.01.4540
352226,Gondang,11.01.01.3795
352227,Sekar,11.01.01.4541
352228,Gayam,11.01.01.4542
352301,Kenduruan,11.01.01.4543
352302,Jatirogo,11.01.01.4544
352303,Bangilan,11.01.01.4545
352304,Bancar,11.01.01.4546
352305,Senori,11.01.01.4547
352306,Tambakboyo,11.01.01.4548
352307,Singgahan,11.01.01.4549
352308,Kerek,11.01.01.4550
352309,Parengan,11.01.01.4551
352310,Montong,11.01.01.4552
352311,Soko,11.01.01.4553
352312,Jenu,11.01.01.4554
352313,Merakurak,11.01.01.4555
352314,Rengel,11.01.01.4556
352315,Semanding,11.01.01.4557
352316,Tuban,11.01.01.4558
352317,Plumpang,11.01.01.4559
352318,Palang,11.01.01.4560
352319,Widang,11.01.01.4561
352320,Grabagan,11.01.01.4562
352401,Sukorame,11.01.01.4563
352402,Bluluk,11.01.01.4564
352403,Modo,11.01.01.4565
352404,Ngimbang,11.01.01.4566
352405,Babat,11.01.01.4567
352406,Kedungpring,11.01.01.4568
352407,Brondong,11.01.01.4569
352408,Laren,11.01.01.4570
352409,Sekaran,11.01.01.4571
352410,Maduran,11.01.01.4572
352411,Sambeng,11.01.01.4573
352412,Sugio,11.01.01.4574
352413,Pucuk,11.01.01.4575
352414,Paciran,11.01.01.4576
352415,Solokuro,11.01.01.4577
352416,Mantup,11.01.01.4578
352417,Sukodadi,11.01.01.4579
352418,Karanggeneng (Karang Geneng),11.01.01.4580
352419,Kembangbahu,11.01.01.4581
352420,Kalitengah,11.01.01.4582
352421,Turi,11.01.01.4124
352422,Lamongan,11.01.01.4583
352423,Tikung,11.01.01.4584
352424,Karangbinangun,11.01.01.4585
352425,Deket,11.01.01.4586
352426,Glagah,11.01.01.4327
352427,Sarirejo,11.01.01.4587
352501,Dukun,11.01.01.3681
352502,Balongpanggang (Balong Panggang),11.01.01.4588
352503,Panceng,11.01.01.4589
352504,Benjeng,11.01.01.4590
352505,Duduksampeyan (Duduk Sampeyan),11.01.01.4591
352506,Wringinanom (Wringin Anom),11.01.01.4592
352507,Ujungpangkah (Ujung Pangkah),11.01.01.4593
352508,Kedamean,11.01.01.4594
352509,Sidayu,11.01.01.4595
352510,Manyar,11.01.01.4596
352511,Cerme,11.01.01.4597
352512,Bungah,11.01.01.4598
352513,Menganti,11.01.01.4599
352514,Kebomas,11.01.01.4600
352515,Driyorejo,11.01.01.4601
352516,Gresik,11.01.01.4602
352517,Sangkapura,11.01.01.4603
352518,Tambak,11.01.01.3570
352601,Bangkalan,11.01.01.4604
352602,Socah,11.01.01.4605
352603,Burneh,11.01.01.4606
352604,Kamal,11.01.01.4607
352605,Arosbaya,11.01.01.4608
352606,Geger,11.01.01.4476
352607,Klampis,11.01.01.4609
352608,Sepulu,11.01.01.4610
352609,Tanjung Bumi (Tanjungbumi),11.01.01.4611
352610,Kokop,11.01.01.4612
352611,Kwanyar,11.01.01.4613
352612,Labang,11.01.01.4614
352613,Tanah Merah,11.01.01.1970
352614,Tragah,11.01.01.4615
352615,Blega,11.01.01.4616
352616,Modung,11.01.01.4617
352617,Konang,11.01.01.4618
352618,Galis,11.01.01.4619
352701,Sreseh,11.01.01.4620
352702,Torjun,11.01.01.4621
352703,Sampang,11.01.01.3555
352704,Camplong,11.01.01.4622
352705,Omben,11.01.01.4623
352706,Kedungdung,11.01.01.4624
352707,Jrengik,11.01.01.4625
352708,Tambelangan,11.01.01.4626
352709,Banyuates,11.01.01.4627
352710,Robatal,11.01.01.4628
352711,Sokobanah,11.01.01.4629
352712,Ketapang,11.01.01.2592
352713,Pangarengan,11.01.01.4630
352714,Karangpenang (Karang Penang),11.01.01.4631
352801,Tlanakan,11.01.01.4632
352802,Pademawu,11.01.01.4633
352803,Galis,11.01.01.4619
352804,Pamekasan,11.01.01.4634
352805,Proppo,11.01.01.4635
352806,"""Palengaan (Palenggaan",11.01.01.4636
352807,Pegantenan,11.01.01.4637
352808,Larangan,11.01.01.4033
352809,Pakong,11.01.01.4638
352810,Waru,11.01.01.4426
352811,Batumarmar,11.01.01.4639
352812,Kadur,11.01.01.4640
352813,Pasean,11.01.01.4641
352901,Kota Sumenep,11.01.01.4642
352902,Kalianget,11.01.01.4643
352903,Manding,11.01.01.4644
352904,Talango,11.01.01.4645
352905,Bluto,11.01.01.4646
352906,Saronggi,11.01.01.4647
352907,Lenteng,11.01.01.4648
352908,Giliginting (Gili Ginting),11.01.01.4649
352909,Guluk-Guluk (Guluk Guluk),11.01.01.4650
352910,Ganding,11.01.01.4651
352911,Pragaan,11.01.01.4652
352912,Ambunten,11.01.01.4653
352913,Pasongsongan,11.01.01.4654
352914,Dasuk,11.01.01.4655
352915,Rubaru,11.01.01.4656
352916,Batang Batang,11.01.01.4657
352917,Batuputih,11.01.01.4658
352918,Dungkek,11.01.01.4659
352919,Gapura,11.01.01.4660
352920,Gayam,11.01.01.4542
352921,Nonggunong,11.01.01.4661
352922,Ra'as (Raas),11.01.01.4662
352923,Masalembu,11.01.01.4663
352924,Arjasa,11.01.01.4303
352925,Sapeken,11.01.01.4664
352926,Batuan,11.01.01.4665
352927,Kangayan,11.01.01.4666
357101,Mojoroto,11.01.01.4667
357102,Kota (Kediri Kota),11.01.01.4668
357103,Pesantren,11.01.01.4669
357201,Kepanjenkidul (Kepanjen Kidul),11.01.01.4670
357202,Sukorejo,11.01.01.3946
357203,Sananwetan (Sanan Wetan),11.01.01.4671
357301,Blimbing,11.01.01.4672
357302,Klojen,11.01.01.4673
357303,Kedungkandang,11.01.01.4674
357304,Sukun,11.01.01.4675
357305,Lowokwaru,11.01.01.4676
357401,Kademangan,11.01.01.4199
357402,Wonoasih,11.01.01.4677
357403,Mayangan,11.01.01.4678
357404,Kanigaran,11.01.01.4679
357405,Kedopok (Kedopak),11.01.01.4680
357501,Gadingrejo,11.01.01.4681
357502,Purworejo,11.01.01.3653
357503,Bugul Kidul,11.01.01.4682
357504,Panggungrejo,11.01.01.4208
357601,Prajuritkulon (Prajurit Kulon),11.01.01.4683
357602,Magersari,11.01.01.4684
357603,Kranggan,11.01.01.3936
357701,Kartoharjo,11.01.01.4685
357702,Manguharjo,11.01.01.4686
357703,Taman,11.01.01.4000
357801,Karang Pilang (Karangpilang),11.01.01.4687
357802,Wonocolo,11.01.01.4688
357803,Rungkut,11.01.01.4689
357804,Wonokromo,11.01.01.4690
357805,Tegalsari,11.01.01.4335
357806,Sawahan,11.01.01.4458
357807,Genteng,11.01.01.4321
357808,Gubeng,11.01.01.4691
357809,Sukolilo,11.01.01.3852
357810,Tambaksari,11.01.01.3197
357811,Simokerto,11.01.01.4692
357812,Pabean Cantian (Pabean Cantikan),11.01.01.4693
357813,Bubutan,11.01.01.4694
357814,Tandes,11.01.01.4695
357815,Krembangan,11.01.01.4696
357816,Semampir,11.01.01.4697
357817,Kenjeran,11.01.01.4698
357818,Lakarsantri,11.01.01.4699
357819,Benowo,11.01.01.4700
357820,Wiyung,11.01.01.4701
357821,Dukuh Pakis,11.01.01.4702
357822,Gayungan,11.01.01.4703
357823,Jambangan,11.01.01.4704
357824,Tenggilis Mejoyo,11.01.01.4705
357825,Gunung Anyar (Gununganyar),11.01.01.4706
357826,Mulyorejo,11.01.01.4707
357827,Sukomanunggal,11.01.01.4708
357828,Asem Rowo (Asemrowo),11.01.01.4709
357829,Bulak,11.01.01.4710
357830,Pakal,11.01.01.4711
357831,Sambikerep,11.01.01.4712
357901,Batu,11.01.01.4713
357902,Bumiaji,11.01.01.4714
357903,Junrejo,11.01.01.4715
360101,Sumur,11.01.01.4716
360102,Cimanggu,11.01.01.3050
360103,Cibaliung,11.01.01.4717
360104,Cikeusik,11.01.01.4718
360105,Cigeulis,11.01.01.4719
360106,Panimbang,11.01.01.4720
360107,Angsana,11.01.01.4721
360108,Munjul,11.01.01.4722
360109,Pagelaran,11.01.01.2751
360110,Bojong,11.01.01.3386
360111,Picung,11.01.01.4723
360112,Labuan,11.01.01.4724
360113,Menes,11.01.01.4725
360114,Saketi,11.01.01.4726
360115,Cipeucang,11.01.01.4727
360116,Jiput,11.01.01.4728
360117,Mandalawangi,11.01.01.4729
360118,Cimanuk,11.01.01.4730
360119,Kaduhejo,11.01.01.4731
360120,Banjar,11.01.01.3537
360121,Pandeglang,11.01.01.4732
360122,Cadasari,11.01.01.4733
360123,Cisata,11.01.01.4734
360124,Patia,11.01.01.4735
360125,Karang Tanjung,11.01.01.4736
360126,Cikedal (Cikeudal),11.01.01.4737
360127,Cibitung,11.01.01.3032
360128,Carita,11.01.01.4738
360129,Sukaresmi,11.01.01.3064
360130,Mekarjaya,11.01.01.4739
360131,Sindangresmi,11.01.01.4740
360132,Pulosari,11.01.01.3993
360133,Koroncong,11.01.01.4741
360134,Majasari,11.01.01.4742
360135,Sobang,11.01.01.4743
360201,Malingping,11.01.01.4744
360202,Panggarangan,11.01.01.4745
360203,Bayah,11.01.01.4746
360204,Cipanas,11.01.01.3077
360205,Muncang,11.01.01.4747
360206,Leuwidamar,11.01.01.4748
360207,Bojongmanik,11.01.01.4749
360208,Gunungkencana (Gunung Kencana),11.01.01.4750
360209,Banjarsari,11.01.01.3199
360210,Cileles,11.01.01.4751
360211,Cimarga,11.01.01.4752
360212,Sajira,11.01.01.4753
360213,Maja,11.01.01.3283
360214,Rangkasbitung,11.01.01.4754
360215,Warunggunung,11.01.01.4755
360216,Cijaku,11.01.01.4756
360217,Cikulur,11.01.01.4757
360218,Cibadak,11.01.01.3018
360219,Cibeber,11.01.01.3054
360220,Cilograng,11.01.01.4758
360221,Wanasalam,11.01.01.4759
360222,Sobang,11.01.01.4743
360223,Curug bitung (Curugbitung),11.01.01.4760
360224,Kalanganyar,11.01.01.4761
360225,Lebakgedong,11.01.01.4762
360226,Cihara,11.01.01.4763
360227,Cirinten,11.01.01.4764
360228,Cigemlong (Cigemblong),11.01.01.4765
360301,Balaraja,11.01.01.4766
360302,Jayanti,11.01.01.4767
360303,Tigaraksa,11.01.01.4768
360304,Jambe,11.01.01.4769
360305,Cisoka,11.01.01.4770
360306,Kresek,11.01.01.4771
360307,Kronjo,11.01.01.4772
360308,Mauk,11.01.01.4773
360309,Kemiri,11.01.01.3659
360310,Sukadiri,11.01.01.4774
360311,Rajeg,11.01.01.4775
360312,Pasar Kemis,11.01.01.4776
360313,Teluknaga,11.01.01.4777
360314,Kosambi,11.01.01.4778
360315,Pakuhaji,11.01.01.4779
360316,Sepatan,11.01.01.4780
360317,Curug,11.01.01.4781
360318,Cikupa,11.01.01.4782
360319,Panongan,11.01.01.4783
360320,Legok,11.01.01.4784
360322,Pagedangan,11.01.01.4785
360323,Cisauk,11.01.01.4786
360327,Sukamulya,11.01.01.4787
360328,Kelapa Dua,11.01.01.4788
360329,Sindang Jaya,11.01.01.4789
360330,Sepatan Timur,11.01.01.4790
360331,Solear,11.01.01.4791
360332,Gunung Kaler,11.01.01.4792
360333,Mekar Baru,11.01.01.4793
360405,Kramatwatu,11.01.01.4794
360406,Waringinkurung (Waringin Kurung),11.01.01.4795
360407,Bojonegara,11.01.01.4796
360408,Pulo Ampel,11.01.01.4797
360409,Ciruas,11.01.01.4798
360411,Kragilan,11.01.01.4799
360412,Pontang,11.01.01.4800
360413,Tirtayasa,11.01.01.4801
360414,Tanara,11.01.01.4802
360415,Cikande,11.01.01.4803
360416,Kibin,11.01.01.4804
360417,Carenang (Cerenang),11.01.01.4805
360418,Binuang,11.01.01.4806
360419,Petir,11.01.01.4807
360420,Tunjung Teja,11.01.01.4808
360422,Baros,11.01.01.3472
360423,Cikeusal,11.01.01.4809
360424,Pamarayan,11.01.01.4810
360425,Kopo,11.01.01.4811
360426,Jawilan,11.01.01.4812
360427,Ciomas,11.01.01.2997
360428,Pabuaran,11.01.01.3041
360429,Padarincang,11.01.01.4813
360430,Anyar,11.01.01.4814
360431,Cinangka,11.01.01.4815
360432,Mancak,11.01.01.4816
360433,Gunungsari (Gunung Sari),11.01.01.4817
360434,Bandung,11.01.01.4193
360435,Lebak Wangi,11.01.01.4818
367101,Tangerang,11.01.01.4819
367102,Jatiuwung,11.01.01.4820
367103,Batuceper,11.01.01.4821
367104,Benda,11.01.01.4822
367105,Cipondoh,11.01.01.4823
367106,Ciledug,11.01.01.3241
367107,Karawaci,11.01.01.4824
367108,Periuk,11.01.01.4825
367109,Cibodas,11.01.01.4826
367110,Neglasari,11.01.01.4827
367111,Pinang (Penang),11.01.01.4828
367112,Karang Tengah,11.01.01.4829
367113,Larangan,11.01.01.4033
367201,Cibeber,11.01.01.3054
367202,Cilegon,11.01.01.4830
367203,Pulomerak,11.01.01.4831
367204,Ciwandan,11.01.01.4832
367205,Jombang,11.01.01.4283
367206,Gerogol,11.01.01.4833
367207,Purwakarta,11.01.01.3379
367208,Citangkil,11.01.01.4834
367301,Serang,11.01.01.4835
367302,Kasemen,11.01.01.4836
367303,Walantaka,11.01.01.4837
367304,Curug,11.01.01.4781
367305,Cipocok Jaya,11.01.01.4838
367306,Taktakan,11.01.01.4839
367401,Serpong,11.01.01.4840
367402,Serpong Utara,11.01.01.4841
367403,Pondok Aren,11.01.01.4842
367404,Ciputat,11.01.01.4843
367405,Ciputat Timur,11.01.01.4844
367406,Pamulang,11.01.01.4845
367407,Setu,11.01.01.3433
510101,Negara,11.01.01.4846
510102,Mendoyo,11.01.01.4847
510103,Pekutatan,11.01.01.4848
510104,Melaya,11.01.01.4849
510105,Jembrana,11.01.01.4850
510201,Selemadeg,11.01.01.4851
510202,"""Selemadeg Timur (Salamadeg Timur",11.01.01.4852
510203,Selemadeg Barat (Salemadeg Barat),11.01.01.4853
510204,Kerambitan,11.01.01.4854
510205,Tabanan,11.01.01.4855
510206,Kediri,11.01.01.4856
510207,Marga,11.01.01.4857
510208,Penebel,11.01.01.4858
510209,Baturiti,11.01.01.4859
510210,Pupuan,11.01.01.4860
510301,Kuta,11.01.01.4861
510302,Mengwi,11.01.01.4862
510303,Abiansemal,11.01.01.4863
510304,Petang,11.01.01.4864
510305,Kuta Selatan,11.01.01.4865
510306,Kuta Utara,11.01.01.4866
510401,Sukawati,11.01.01.4867
510402,Blahbatuh (Belah Batuh),11.01.01.4868
510403,Gianyar,11.01.01.4869
510404,Tampaksiring (Tampak Siring),11.01.01.4870
510405,Ubud,11.01.01.4871
510406,Tegallalang,11.01.01.4872
510407,Payangan,11.01.01.4873
510501,Nusa Penida (Nusapenida),11.01.01.4874
510502,Banjarangkan,11.01.01.4875
510503,Klungkung,11.01.01.4876
510504,Dawan,11.01.01.4877
510601,Susut,11.01.01.4878
510602,Bangli,11.01.01.4879
510603,Tembuku,11.01.01.4880
510604,Kintamani,11.01.01.4881
510701,Rendang,11.01.01.4882
510702,Sidemen,11.01.01.4883
510703,Manggis,11.01.01.4884
510704,Karangasem (Karang Asem),11.01.01.4885
510705,Abang,11.01.01.4886
510706,Bebandem,11.01.01.4887
510707,Selat,11.01.01.4888
510708,Kubu,11.01.01.2007
510801,Gerokgak,11.01.01.4889
510802,Seririt,11.01.01.4890
510803,Busungbiu (Busung biu),11.01.01.4891
510804,Banjar,11.01.01.3537
510805,Sukasada,11.01.01.4892
510806,Buleleng,11.01.01.4893
510807,Sawan,11.01.01.4894
510808,Kubutambahan,11.01.01.4895
510809,Tejakula,11.01.01.4896
517101,Denpasar Selatan,11.01.01.4897
517102,Denpasar Timur,11.01.01.4898
517103,Denpasar Barat,11.01.01.4899
517104,Denpasar Utara,11.01.01.4900
520101,Gerung,11.01.01.4901
520102,Kediri,11.01.01.4856
520103,Narmada,11.01.01.4902
520107,Sekotong,11.01.01.4903
520108,Labuapi,11.01.01.4904
520109,Gunungsari,11.01.01.4905
520112,Lingsar,11.01.01.4906
520113,Lembar,11.01.01.4907
520114,Batu Layar,11.01.01.4908
520115,Kuripan,11.01.01.4374
520201,Praya,11.01.01.4909
520202,Jonggat,11.01.01.4910
520203,Batukliang,11.01.01.4911
520204,Pujut,11.01.01.4912
520205,Praya Barat,11.01.01.4913
520206,Praya Timur,11.01.01.4914
520207,Janapria,11.01.01.4915
520208,Pringgarata,11.01.01.4916
520209,Kopang,11.01.01.4917
520210,Praya Tengah,11.01.01.4918
520211,Praya Barat Daya,11.01.01.4919
520212,Batukliang Utara,11.01.01.4920
520301,Keruak,11.01.01.4921
520302,Sakra,11.01.01.4922
520303,Terara,11.01.01.4923
520304,Sikur,11.01.01.4924
520305,Masbagik,11.01.01.4925
520306,Sukamulia,11.01.01.4926
520307,Selong,11.01.01.4927
520308,Pringgabaya,11.01.01.4928
520309,Aikmel,11.01.01.4929
520310,Sambelia (Sambalia),11.01.01.4930
520311,Montong Gading,11.01.01.4931
520312,Pringgasela,11.01.01.4932
520313,Suralaga,11.01.01.4933
520314,Wanasaba,11.01.01.4934
520315,Sembalun,11.01.01.4935
520316,Suwela (Suela),11.01.01.4936
520317,Labuhan Haji,11.01.01.1005
520318,Sakra Timur,11.01.01.4937
520319,Sakra Barat,11.01.01.4938
520320,Jerowaru,11.01.01.4939
520321,Lenek,11.01.01.4940
520402,Lunyuk,11.01.01.4941
520405,Alas,11.01.01.4942
520406,Utan,11.01.01.4943
520407,Batu Lanteh (Batulanteh),11.01.01.4944
520408,Sumbawa,11.01.01.4945
520409,Moyo Hilir,11.01.01.4946
520410,Moyo Hulu,11.01.01.4947
520411,Ropang,11.01.01.4948
520412,Lape (Lape Lopok),11.01.01.4949
520413,Plampang,11.01.01.4950
520414,Empang,11.01.01.4951
520417,Alas Barat,11.01.01.4952
520418,Labuhan Badas,11.01.01.4953
520419,Labangka,11.01.01.4954
520420,Buer,11.01.01.4955
520421,Rhee,11.01.01.4956
520422,Unter Iwes (Unterwiris),11.01.01.4957
520423,Moyo Utara,11.01.01.4958
520424,Maronge,11.01.01.4959
520425,Tarano,11.01.01.4960
520426,Lopok,11.01.01.4961
520427,Lenangguar,11.01.01.4962
520428,Orong Telu,11.01.01.4963
520429,Lantung,11.01.01.4964
520501,Dompu,11.01.01.4965
520502,Kempo,11.01.01.4966
520503,Hu'u,11.01.01.4967
520504,Kilo,11.01.01.4968
520505,Woja,11.01.01.4969
520506,Pekat,11.01.01.4970
520507,Manggalewa,11.01.01.4971
520508,Pajo,11.01.01.4972
520601,Monta,11.01.01.4973
520602,Bolo,11.01.01.4974
520603,Woha,11.01.01.4975
520604,Belo,11.01.01.4976
520605,Wawo,11.01.01.4977
520606,Sape,11.01.01.4978
520607,Wera,11.01.01.4979
520608,Donggo,11.01.01.4980
520609,Sanggar,11.01.01.4981
520610,Ambalawi,11.01.01.4982
520611,Langgudu,11.01.01.4983
520612,Lambu,11.01.01.4984
520613,Madapangga,11.01.01.4985
520614,Tambora,11.01.01.2945
520615,Soromandi,11.01.01.4986
520616,Parado,11.01.01.4987
520617,Lambitu,11.01.01.4988
520618,Palibelo,11.01.01.4989
520701,Jereweh,11.01.01.4990
520702,Taliwang,11.01.01.4991
520703,Seteluk (Sateluk),11.01.01.4992
520704,Sekongkang,11.01.01.4993
520705,Brang Rea,11.01.01.4994
520706,Poto Tano,11.01.01.4995
520707,Brang Ene,11.01.01.4996
520708,Maluk,11.01.01.4997
520801,Tanjung,11.01.01.4031
520802,Gangga,11.01.01.4998
520803,Kayangan,11.01.01.4999
520804,Bayan,11.01.01.3655
520805,Pemenang,11.01.01.5000
527101,Ampenan,11.01.01.5001
527102,Mataram,11.01.01.5002
527103,Cakranegara,11.01.01.5003
527104,Sekarbela,11.01.01.5004
527105,Selaprang (Selaparang),11.01.01.5005
527106,Sandubaya (Sandujaya),11.01.01.5006
527201,Rasanae Barat,11.01.01.5007
527202,Rasanae Timur,11.01.01.5008
527203,Asakota,11.01.01.5009
527204,Raba,11.01.01.5010
527205,Mpunda,11.01.01.5011
530104,Semau,11.01.01.5012
530105,Kupang Barat,11.01.01.5013
530106,Kupang Timur,11.01.01.5014
530107,Sulamu,11.01.01.5015
530108,Kupang Tengah,11.01.01.5016
530109,Amarasi,11.01.01.5017
530110,Fatuleu,11.01.01.5018
530111,Takari,11.01.01.5019
530112,Amfoang Selatan,11.01.01.5020
530113,Amfoang Utara,11.01.01.5021
530116,Nekamese,11.01.01.5022
530117,Amarasi Barat,11.01.01.5023
530118,Amarasi Selatan,11.01.01.5024
530119,Amarasi Timur,11.01.01.5025
530120,Amabi Oefeto Timur,11.01.01.5026
530121,Amfoang Barat Daya,11.01.01.5027
530122,Amfoang Barat Laut,11.01.01.5028
530123,Semau Selatan,11.01.01.5029
530124,Taebenu,11.01.01.5030
530125,Amabi Oefeto,11.01.01.5031
530126,Amfoang Timur,11.01.01.5032
530127,Fatuleu Barat,11.01.01.5033
530128,Fatuleu Tengah,11.01.01.5034
530130,Amfoang Tengah,11.01.01.5035
530201,Kota Soe,11.01.01.5036
530202,Mollo Selatan,11.01.01.5037
530203,Mollo Utara,11.01.01.5038
530204,Amanuban Timur,11.01.01.5039
530205,Amanuban Tengah,11.01.01.5040
530206,Amanuban Selatan,11.01.01.5041
530207,Amanuban Barat,11.01.01.5042
530208,Amanatun Selatan,11.01.01.5043
530209,Amanatun Utara,11.01.01.5044
530210,"""KI'E (Kie",11.01.01.5045
530211,Kuanfatu,11.01.01.5046
530212,Fatumnasi,11.01.01.5047
530213,Polen,11.01.01.5048
530214,Batu Putih,11.01.01.2768
530215,Boking,11.01.01.5049
530216,Toianas,11.01.01.5050
530217,Nunkolo,11.01.01.5051
530218,Oenino,11.01.01.5052
530219,Kolbano,11.01.01.5053
530220,Kot Olin,11.01.01.5054
530221,Kualin,11.01.01.5055
530222,Mollo Barat,11.01.01.5056
530223,Kok Baun,11.01.01.5057
530224,Noebana,11.01.01.5058
530225,Santian,11.01.01.5059
530226,Noebeba,11.01.01.5060
530227,Kuatnana,11.01.01.5061
530228,Fautmolo,11.01.01.5062
530229,Fatukopa,11.01.01.5063
530230,Mollo Tengah,11.01.01.5064
530231,Tobu,11.01.01.5065
530232,Nunbena,11.01.01.5066
530301,Miomaffo Timur (Miomafo Timur),11.01.01.5067
530302,Miomaffo Barat (Miomafo Barat),11.01.01.5068
530303,Biboki Selatan,11.01.01.5069
530304,Noemuti,11.01.01.5070
530305,Kota Kefamenanu,11.01.01.5071
530306,Biboki Utara,11.01.01.5072
530307,Biboki Anleu,11.01.01.5073
530308,Insana,11.01.01.5074
530309,Insana Utara,11.01.01.5075
530310,Noemuti Timur,11.01.01.5076
530311,Miomaffo Tengah (Miomafo Tengah),11.01.01.5077
530312,Musi,11.01.01.5078
530313,Mutis,11.01.01.5079
530314,Bikomi Selatan,11.01.01.5080
530315,Bikomi Tengah,11.01.01.5081
530316,Bikomi Nilulat,11.01.01.5082
530317,Bikomi Utara,11.01.01.5083
530318,Naibenu,11.01.01.5084
530319,Insana Fafinesu,11.01.01.5085
530320,Insana Barat,11.01.01.5086
530321,Insana Tengah,11.01.01.5087
530322,Biboki Tan Pah,11.01.01.5088
530323,Biboki Moenleu,11.01.01.5089
530324,Biboki Feotleu,11.01.01.5090
530401,Lamaknen,11.01.01.5091
530402,Tasifeto Timur,11.01.01.5092
530403,Raihat,11.01.01.5093
530404,Tasifeto Barat,11.01.01.5094
530405,Kakuluk Mesak,11.01.01.5095
530412,Kota Atambua (Atambua Kota),11.01.01.5096
530413,Raimanuk,11.01.01.5097
530417,Lasiolat,11.01.01.5098
530418,Lamaknen Selatan,11.01.01.5099
530421,Atambua Barat,11.01.01.5100
530422,Atambua Selatan,11.01.01.5101
530423,Nanaet Duabesi,11.01.01.5102
530501,Teluk Mutiara,11.01.01.5103
530502,Alor Barat Laut,11.01.01.5104
530503,Alor Barat Daya,11.01.01.5105
530504,Alor Selatan,11.01.01.5106
530505,Alor Timur,11.01.01.5107
530506,Pantar,11.01.01.5108
530507,Alor Tengah Utara,11.01.01.5109
530508,Alor Timur Laut,11.01.01.5110
530509,Pantar Barat,11.01.01.5111
530510,Kabola,11.01.01.5112
530511,Pulau Pura,11.01.01.5113
530512,Mataru,11.01.01.5114
530513,Pureman,11.01.01.5115
530514,Pantar Timur,11.01.01.5116
530515,Lembur,11.01.01.5117
530516,Pantar Tengah,11.01.01.5118
530517,Pantar Baru Laut,11.01.01.5119
530518,Abad Selatan,11.01.01.5120
530601,Wulanggitang,11.01.01.5121
530602,Titehena,11.01.01.5122
530603,Larantuka,11.01.01.5123
530604,Ile Mandiri,11.01.01.5124
530605,Tanjung Bunga,11.01.01.5125
530606,Solor Barat,11.01.01.5126
530607,Solor Timur,11.01.01.5127
530608,Adonara Barat,11.01.01.5128
530609,Wotan Ulumando,11.01.01.5129
530610,Adonara Timur,11.01.01.5130
530611,Kelubagolit,11.01.01.5131
530612,Witihama,11.01.01.5132
530613,Ile Boleng,11.01.01.5133
530614,Demon Pagong,11.01.01.5134
530615,Lewolema,11.01.01.5135
530616,Ile Bura,11.01.01.5136
530617,Adonara,11.01.01.5137
530618,Adonara Tengah,11.01.01.5138
530619,Solor Selatan,11.01.01.5139
530701,Paga,11.01.01.5140
530702,Mego,11.01.01.5141
530703,Lela,11.01.01.5142
530704,Nita,11.01.01.5143
530705,Alok,11.01.01.5144
530706,Palue,11.01.01.5145
530707,Nelle (Maumerei),11.01.01.5146
530708,Talibura,11.01.01.5147
530709,Waigete,11.01.01.5148
530710,Kewapante,11.01.01.5149
530711,Bola,11.01.01.5150
530712,Magepanda,11.01.01.5151
530713,Waiblama,11.01.01.5152
530714,Alok Barat,11.01.01.5153
530715,Alok Timur,11.01.01.5154
530716,Koting,11.01.01.5155
530717,Tana Wawo,11.01.01.5156
530718,Hewokloang,11.01.01.5157
530719,Kangae,11.01.01.5158
530720,Doreng,11.01.01.5159
530721,Mapitara,11.01.01.5160
530801,Nangapanda,11.01.01.5161
530802,Pulau Ende,11.01.01.5162
530803,Ende,11.01.01.5163
530804,Ende Selatan,11.01.01.5164
530805,Ndona,11.01.01.5165
530806,Detusoko,11.01.01.5166
530807,Wewaria,11.01.01.5167
530808,Wolowaru,11.01.01.5168
530809,Wolojita,11.01.01.5169
530810,Maurole,11.01.01.5170
530811,Maukaro,11.01.01.5171
530812,Lio Timur,11.01.01.5172
530813,Kota Baru,11.01.01.2210
530814,Kelimutu,11.01.01.5173
530815,Detukeli,11.01.01.5174
530816,Ndona Timur,11.01.01.5175
530817,Ndori,11.01.01.5176
530818,Ende Utara,11.01.01.5177
530819,Ende Tengah,11.01.01.5178
530820,Ende Timur,11.01.01.5179
530821,Lepembusu Kelisoke,11.01.01.5180
530901,Aimere,11.01.01.5181
530902,Golewa,11.01.01.5182
530906,Bajawa,11.01.01.5183
530907,Soa,11.01.01.5184
530909,Riung,11.01.01.5185
530912,Jerebuu,11.01.01.5186
530914,Riung Barat,11.01.01.5187
530915,Bajawa Utara,11.01.01.5188
530916,Wolomeze (Riung Selatan),11.01.01.5189
530918,Golewa Selatan,11.01.01.5190
